model,code,description,remark
TG,TG,保护套管,例：TG-PT2-200/300RN27-16；(1)：外径应小于连接螺纹的小径；(2)默认长度H=50mm，材质与外保护管一致，如需其他，请注明。；(3)粗糙度Ra=0.8，长度不超过500mm。
套管形式,-PT2,螺纹安装金属保护管,例：TG-PT2-200/300RN27-16；(1)：外径应小于连接螺纹的小径；(2)默认长度H=50mm，材质与外保护管一致，如需其他，请注明。；(3)粗糙度Ra=0.8，长度不超过500mm。
插入深度 (U),-□□□,单位mm,例：TG-PT2-200/300RN27-16；(1)：外径应小于连接螺纹的小径；(2)默认长度H=50mm，材质与外保护管一致，如需其他，请注明。；(3)粗糙度Ra=0.8，长度不超过500mm。
总长 (A),-□□□,单位mm,例：TG-PT2-200/300RN27-16；(1)：外径应小于连接螺纹的小径；(2)默认长度H=50mm，材质与外保护管一致，如需其他，请注明。；(3)粗糙度Ra=0.8，长度不超过500mm。
材质,□□,参见表2材质规格代码表,例：TG-PT2-200/300RN27-16；(1)：外径应小于连接螺纹的小径；(2)默认长度H=50mm，材质与外保护管一致，如需其他，请注明。；(3)粗糙度Ra=0.8，长度不超过500mm。
过程连接螺纹,12,1/2" NPT,例：TG-PT2-200/300RN27-16；(1)：外径应小于连接螺纹的小径；(2)默认长度H=50mm，材质与外保护管一致，如需其他，请注明。；(3)粗糙度Ra=0.8，长度不超过500mm。
过程连接螺纹,34,3/4" NPT,例：TG-PT2-200/300RN27-16；(1)：外径应小于连接螺纹的小径；(2)默认长度H=50mm，材质与外保护管一致，如需其他，请注明。；(3)粗糙度Ra=0.8，长度不超过500mm。
过程连接螺纹,10,1" NPT,例：TG-PT2-200/300RN27-16；(1)：外径应小于连接螺纹的小径；(2)默认长度H=50mm，材质与外保护管一致，如需其他，请注明。；(3)粗糙度Ra=0.8，长度不超过500mm。
过程连接螺纹,14,1-1/4" NPT,例：TG-PT2-200/300RN27-16；(1)：外径应小于连接螺纹的小径；(2)默认长度H=50mm，材质与外保护管一致，如需其他，请注明。；(3)粗糙度Ra=0.8，长度不超过500mm。
过程连接螺纹,15,1-1/2" NPT,例：TG-PT2-200/300RN27-16；(1)：外径应小于连接螺纹的小径；(2)默认长度H=50mm，材质与外保护管一致，如需其他，请注明。；(3)粗糙度Ra=0.8，长度不超过500mm。
过程连接螺纹,20,M20 × 1.5,例：TG-PT2-200/300RN27-16；(1)：外径应小于连接螺纹的小径；(2)默认长度H=50mm，材质与外保护管一致，如需其他，请注明。；(3)粗糙度Ra=0.8，长度不超过500mm。
过程连接螺纹,27,M27 × 2,例：TG-PT2-200/300RN27-16；(1)：外径应小于连接螺纹的小径；(2)默认长度H=50mm，材质与外保护管一致，如需其他，请注明。；(3)粗糙度Ra=0.8，长度不超过500mm。
过程连接螺纹,33,M33 × 2,例：TG-PT2-200/300RN27-16；(1)：外径应小于连接螺纹的小径；(2)默认长度H=50mm，材质与外保护管一致，如需其他，请注明。；(3)粗糙度Ra=0.8，长度不超过500mm。
过程连接螺纹,Z,其它,例：TG-PT2-200/300RN27-16；(1)：外径应小于连接螺纹的小径；(2)默认长度H=50mm，材质与外保护管一致，如需其他，请注明。；(3)粗糙度Ra=0.8，长度不超过500mm。
外径 (d) *,-12,12mm,例：TG-PT2-200/300RN27-16；(1)：外径应小于连接螺纹的小径；(2)默认长度H=50mm，材质与外保护管一致，如需其他，请注明。；(3)粗糙度Ra=0.8，长度不超过500mm。
外径 (d) *,-16,16mm,例：TG-PT2-200/300RN27-16；(1)：外径应小于连接螺纹的小径；(2)默认长度H=50mm，材质与外保护管一致，如需其他，请注明。；(3)粗糙度Ra=0.8，长度不超过500mm。
外径 (d) *,-20,20mm,例：TG-PT2-200/300RN27-16；(1)：外径应小于连接螺纹的小径；(2)默认长度H=50mm，材质与外保护管一致，如需其他，请注明。；(3)粗糙度Ra=0.8，长度不超过500mm。
外径 (d) *,-□□,单独指定，单位mm,例：TG-PT2-200/300RN27-16；(1)：外径应小于连接螺纹的小径；(2)默认长度H=50mm，材质与外保护管一致，如需其他，请注明。；(3)粗糙度Ra=0.8，长度不超过500mm。
附加规格代码,/A1,焊接座,例：TG-PT2-200/300RN27-16；(1)：外径应小于连接螺纹的小径；(2)默认长度H=50mm，材质与外保护管一致，如需其他，请注明。；(3)粗糙度Ra=0.8，长度不超过500mm。
附加规格代码,/A4,外保护套管材质报告,例：TG-PT2-200/300RN27-16；(1)：外径应小于连接螺纹的小径；(2)默认长度H=50mm，材质与外保护管一致，如需其他，请注明。；(3)粗糙度Ra=0.8，长度不超过500mm。
附加规格代码,/R1,外保护套管接液部分禁油处理,例：TG-PT2-200/300RN27-16；(1)：外径应小于连接螺纹的小径；(2)默认长度H=50mm，材质与外保护管一致，如需其他，请注明。；(3)粗糙度Ra=0.8，长度不超过500mm。
附加规格代码,/F2,外保护套管接液部分抛光处理,例：TG-PT2-200/300RN27-16；(1)：外径应小于连接螺纹的小径；(2)默认长度H=50mm，材质与外保护管一致，如需其他，请注明。；(3)粗糙度Ra=0.8，长度不超过500mm。
