model,code,description,param,is_default
TG套管形式,TG-PT2,螺纹安装金属保护管,NaN,1
插入深度（U）,-%int%,单位mm,3位代码,1
总长（L）,/%int%,单位mm,3位代码,1
套管材质,GH,GH3030,GH3030,0
套管材质,GN,GH3039,GH3039,0
套管材质,HC,Hastelloy C-276,Hastelloy C-276；哈氏C276；HC276,0
套管材质,JN,Inconel 625,Inconel 625,0
套管材质,N1,碳钢（SA-105）,SA-105,0
套管材质,N2,碳钢（15CrMo）,15CrMo,0
套管材质,PN,304不锈钢,304SS；AISI 304；304；30408；S30408；06Cr19Ni10;0Cr18Ni9,0
套管材质,QN,310不锈钢,S31008；310S；310；310SS；06Cr25Ni20,0
套管材质,RN,316不锈钢,316SS；316；SS316；316S.S；316SST；S.S316；S31608；06Cr17Ni12Mo2；0Cr17Ni12Mo2,0
套管材质,RH,316H不锈钢,316H,0
套管材质,RL,316L不锈钢,316L；316LSS；SS316L；S31603；022Cr17Ni12Mo2；00Cr17Ni14Mo2,0
套管材质,SN,321不锈钢,321SS；1Cr18Ni9Ti；321；S32168；06Cr18Ni11Ti；0Cr18Ni10Ti,0
套管材质,TA,钛(TA2),TA2；钛,0
套管材质,DP,2205双相不锈钢,2205；S22053；022Cr25Ni5Mo3N,0
套管材质,Z,其它,其它,0
过程连接（螺纹）,12,1/2" NPT,1/2NPT；1/2"NPT；NPT1/2；NPT1/2"；1/2NPT(M)；1/2"NPT(M)；NPT1/2(M)；NPT1/2"(M)；1/2"NPT(外螺纹)；1/2"NPT螺纹；热电阻(弹簧式1/2”NPT外螺纹连接)；固定外螺纹 1/2"NPT；MFR STD,0
过程连接（螺纹）,34,3/4" NPT,3/4NPT；3/4"NPT；NPT3/4；NPT3/4"；3/4NPT(M)；3/4"NPT(M)；NPT3/4(M)；NPT3/4"(M)；3/4"NPT(外螺纹)；3/4"NPT螺纹；热电阻(弹簧式3/4”NPT外螺纹连接)；固定外螺纹 3/4"NPT；MFR STD,0
过程连接（螺纹）,10,1" NPT,1"NPT；NPT1"；1"NPT(M)；NPT1"(M),0
过程连接（螺纹）,20,M20 × 1.5,NaN,0
过程连接（螺纹）,27,M27 × 2,NaN,0
过程连接（螺纹）,33,M33 × 2,NaN,0
过程连接（螺纹）,G12,G1/2",G1/2；G1/2(M)；G1/2"；G1/2"(M),0
过程连接（螺纹）,G34,G3/4",G3/4；G3/4(M)；G3/4"；G3/4"(M),0
过程连接（螺纹）,G10,G1",G1"；G1"(M),0
过程连接（螺纹）,Z,其它,NaN,0
外径（d）,-%int%,单独指定，单位mm,2位代码,1
套管附加规格,NaN,默认,若甲方未提供，则选择此项,1
套管附加规格,/A1,焊接座,安装座；焊接安装座；直型焊接连接头；焊接座,0
套管附加规格,/A4,外保护套管材质报告,材质报告；材质证明,0
套管附加规格,/R1,外保护套管接液部分禁油处理,外保护套管接液部分禁油处理；脱脂清洗,0
套管附加规格,/F2,外保护套管接液部分抛光处理,外保护套管接液部分抛光处理；表面粗超度Ra0.8,0
