model,code,description,remark
带避雷器,A,允许电流：最大6000 A（8×20μs），反复1000 A（8×20μs）100次,主铭牌显示的规格代码表示出厂时的状态，如出厂后发生规格更改，可能会出现规格代码与实物不符的情况。 *1： 不能与不锈钢壳体组合。 *2： 不能与X2或P□组合。 *3： 仅支持HART通信型。 *4： 变更部分以外为标准涂层颜色(薄荷绿)和标准涂层(聚酯硬化型聚酯粉末涂层)。 *5： 避雷器可拆装。 *6： 不支持现场总线通信型。 *7： 基本规格代码中文B和SG不能组合。 *8： 不带SG选项时为中国产品(随附英文铭牌和英文IM)。 *9： 必须选择SG。 *10：带SG的产品原则上为新加坡生产的产品。 *11：不能与SG组合。
涂层,P1,涂层颜色/涂层变更 (仅放大器盖*4)；涂层颜色：蒙塞尔N1.5 (黑色) 涂层：高防腐涂层,主铭牌显示的规格代码表示出厂时的状态，如出厂后发生规格更改，可能会出现规格代码与实物不符的情况。 *1： 不能与不锈钢壳体组合。 *2： 不能与X2或P□组合。 *3： 仅支持HART通信型。 *4： 变更部分以外为标准涂层颜色(薄荷绿)和标准涂层(聚酯硬化型聚酯粉末涂层)。 *5： 避雷器可拆装。 *6： 不支持现场总线通信型。 *7： 基本规格代码中文B和SG不能组合。 *8： 不带SG选项时为中国产品(随附英文铭牌和英文IM)。 *9： 必须选择SG。 *10：带SG的产品原则上为新加坡生产的产品。 *11：不能与SG组合。
涂层,P2,涂层颜色/涂层变更 (仅放大器盖*4)；涂层颜色：蒙塞尔7.5BG4/1.5 (翠绿色) 涂层：高防腐涂层,主铭牌显示的规格代码表示出厂时的状态，如出厂后发生规格更改，可能会出现规格代码与实物不符的情况。 *1： 不能与不锈钢壳体组合。 *2： 不能与X2或P□组合。 *3： 仅支持HART通信型。 *4： 变更部分以外为标准涂层颜色(薄荷绿)和标准涂层(聚酯硬化型聚酯粉末涂层)。 *5： 避雷器可拆装。 *6： 不支持现场总线通信型。 *7： 基本规格代码中文B和SG不能组合。 *8： 不带SG选项时为中国产品(随附英文铭牌和英文IM)。 *9： 必须选择SG。 *10：带SG的产品原则上为新加坡生产的产品。 *11：不能与SG组合。
涂层,P7,涂层颜色/涂层变更 (仅放大器盖*4)；涂层颜色：金属银 涂层：高防腐涂层,主铭牌显示的规格代码表示出厂时的状态，如出厂后发生规格更改，可能会出现规格代码与实物不符的情况。 *1： 不能与不锈钢壳体组合。 *2： 不能与X2或P□组合。 *3： 仅支持HART通信型。 *4： 变更部分以外为标准涂层颜色(薄荷绿)和标准涂层(聚酯硬化型聚酯粉末涂层)。 *5： 避雷器可拆装。 *6： 不支持现场总线通信型。 *7： 基本规格代码中文B和SG不能组合。 *8： 不带SG选项时为中国产品(随附英文铭牌和英文IM)。 *9： 必须选择SG。 *10：带SG的产品原则上为新加坡生产的产品。 *11：不能与SG组合。
涂层,PR,涂层颜色/涂层变更 (放大器及端子盖*4)；涂层颜色：蒙塞尔7.5R4/14或相当颜色 涂层：高防腐涂层,主铭牌显示的规格代码表示出厂时的状态，如出厂后发生规格更改，可能会出现规格代码与实物不符的情况。 *1： 不能与不锈钢壳体组合。 *2： 不能与X2或P□组合。 *3： 仅支持HART通信型。 *4： 变更部分以外为标准涂层颜色(薄荷绿)和标准涂层(聚酯硬化型聚酯粉末涂层)。 *5： 避雷器可拆装。 *6： 不支持现场总线通信型。 *7： 基本规格代码中文B和SG不能组合。 *8： 不带SG选项时为中国产品(随附英文铭牌和英文IM)。 *9： 必须选择SG。 *10：带SG的产品原则上为新加坡生产的产品。 *11：不能与SG组合。
涂层,X2,涂层变更 (外壳、放大器及端子盖)；高防腐涂层,主铭牌显示的规格代码表示出厂时的状态，如出厂后发生规格更改，可能会出现规格代码与实物不符的情况。 *1： 不能与不锈钢壳体组合。 *2： 不能与X2或P□组合。 *3： 仅支持HART通信型。 *4： 变更部分以外为标准涂层颜色(薄荷绿)和标准涂层(聚酯硬化型聚酯粉末涂层)。 *5： 避雷器可拆装。 *6： 不支持现场总线通信型。 *7： 基本规格代码中文B和SG不能组合。 *8： 不带SG选项时为中国产品(随附英文铭牌和英文IM)。 *9： 必须选择SG。 *10：带SG的产品原则上为新加坡生产的产品。 *11：不能与SG组合。
故障报警输出,C1,将异常时的输出值设定在LOW侧(-5％，3.2 mA DC或以下) 将传感器断偶的输出值设定在LOW侧(-2.5％，3.6 mA DC),主铭牌显示的规格代码表示出厂时的状态，如出厂后发生规格更改，可能会出现规格代码与实物不符的情况。 *1： 不能与不锈钢壳体组合。 *2： 不能与X2或P□组合。 *3： 仅支持HART通信型。 *4： 变更部分以外为标准涂层颜色(薄荷绿)和标准涂层(聚酯硬化型聚酯粉末涂层)。 *5： 避雷器可拆装。 *6： 不支持现场总线通信型。 *7： 基本规格代码中文B和SG不能组合。 *8： 不带SG选项时为中国产品(随附英文铭牌和英文IM)。 *9： 必须选择SG。 *10：带SG的产品原则上为新加坡生产的产品。 *11：不能与SG组合。
故障报警输出,C2,输出电流范围： 3.8～20.5 mA DC；将异常时的输出值设定在LOW侧(-5％，3.2 mA DC或以下) 将传感器断偶值设定在LOW侧(-2.5％，3.6 mA DC),主铭牌显示的规格代码表示出厂时的状态，如出厂后发生规格更改，可能会出现规格代码与实物不符的情况。 *1： 不能与不锈钢壳体组合。 *2： 不能与X2或P□组合。 *3： 仅支持HART通信型。 *4： 变更部分以外为标准涂层颜色(薄荷绿)和标准涂层(聚酯硬化型聚酯粉末涂层)。 *5： 避雷器可拆装。 *6： 不支持现场总线通信型。 *7： 基本规格代码中文B和SG不能组合。 *8： 不带SG选项时为中国产品(随附英文铭牌和英文IM)。 *9： 必须选择SG。 *10：带SG的产品原则上为新加坡生产的产品。 *11：不能与SG组合。
故障报警输出,C3,输出电流范围： 3.8～20.5 mA DC；将异常时的输出值设定在HIGH侧(110%，21.6 mA DC或以上) 将传感器断偶值设定在HIGH侧(110%，21.6 mA DC),主铭牌显示的规格代码表示出厂时的状态，如出厂后发生规格更改，可能会出现规格代码与实物不符的情况。 *1： 不能与不锈钢壳体组合。 *2： 不能与X2或P□组合。 *3： 仅支持HART通信型。 *4： 变更部分以外为标准涂层颜色(薄荷绿)和标准涂层(聚酯硬化型聚酯粉末涂层)。 *5： 避雷器可拆装。 *6： 不支持现场总线通信型。 *7： 基本规格代码中文B和SG不能组合。 *8： 不带SG选项时为中国产品(随附英文铭牌和英文IM)。 *9： 必须选择SG。 *10：带SG的产品原则上为新加坡生产的产品。 *11：不能与SG组合。
位号牌,N4,位号牌,主铭牌显示的规格代码表示出厂时的状态，如出厂后发生规格更改，可能会出现规格代码与实物不符的情况。 *1： 不能与不锈钢壳体组合。 *2： 不能与X2或P□组合。 *3： 仅支持HART通信型。 *4： 变更部分以外为标准涂层颜色(薄荷绿)和标准涂层(聚酯硬化型聚酯粉末涂层)。 *5： 避雷器可拆装。 *6： 不支持现场总线通信型。 *7： 基本规格代码中文B和SG不能组合。 *8： 不带SG选项时为中国产品(随附英文铭牌和英文IM)。 *9： 必须选择SG。 *10：带SG的产品原则上为新加坡生产的产品。 *11：不能与SG组合。

